Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
64,1692885490947330472,1692885490944423183,3137.8,"[-0.05124206840991974, -0.761618971824646, 0.5596849918365479, 0.32258886098861694]","[160.21022033691406, 33.28050231933594, -78.5903549194336]"
65,1692885490953422811,1692885490944423183,3137.8050000000003,"[-0.05121998116374016, -0.7615386247634888, 0.5597245097160339, 0.32271328568458557]","[160.19326782226562, 33.28852844238281, -78.6067123413086]"
66,1692885490959438252,1692885490944423183,3137.81,"[-0.05120454356074333, -0.7614614963531494, 0.5597614049911499, 0.3228338956832886]","[160.17745971679688, 33.296775817871094, -78.62227630615234]"
67,1692885490965296562,1692885490944423183,3137.815,"[-0.051184799522161484, -0.7613843679428101, 0.5597891211509705, 0.32297101616859436]","[160.15994262695312, 33.30635070800781, -78.63772583007812]"
68,1692885490971246805,1692885490944423183,3137.82,"[-0.0511658750474453, -0.7613089680671692, 0.559812068939209, 0.323111891746521]","[160.14230346679688, 33.316429138183594, -78.65272521972656]"
69,1692885490977186555,1692885490944423183,3137.8250000000003,"[-0.05113887041807175, -0.7612344622612, 0.5598297119140625, 0.3232607841491699]","[160.12330627441406, 33.326725006103516, -78.6676025390625]"
70,1692885490983213271,1692885490944423183,3137.83,"[-0.05111216753721237, -0.7611632347106934, 0.5598392486572266, 0.32341620326042175]","[160.10403442382812, 33.337806701660156, -78.68169403076172]"
71,1692885490989483833,1692885490944423183,3137.835,"[-0.05108421668410301, -0.761096715927124, 0.559839129447937, 0.32357773184776306]","[160.08445739746094, 33.34956741333008, -78.69473266601562]"
72,1692885490995370049,1692885490944423183,3137.84,"[-0.05106161907315254, -0.7610310316085815, 0.5598381161689758, 0.32373756170272827]","[160.06558227539062, 33.36159133911133, -78.70745849609375]"
73,1692885491001584440,1692885490944423183,3137.8450000000003,"[-0.05104057118296623, -0.7609699964523315, 0.5598312616348267, 0.32389575242996216]","[160.04727172851562, 33.373748779296875, -78.7191390991211]"
74,1692885491008095421,1692885490944423183,3137.85,"[-0.05039326101541519, -0.7612057328224182, 0.559583842754364, 0.32387104630470276]","[160.00123596191406, 33.33020782470703, -78.68386840820312]"
75,1692885491013893098,1692885490944423183,3137.855,"[-0.050392407923936844, -0.7611483931541443, 0.5595770478248596, 0.3240176737308502]","[159.9860382080078, 33.342857360839844, -78.69441986083984]"
76,1692885491019931645,1692885490944423183,3137.86,"[-0.050398051738739014, -0.7610970139503479, 0.5595707297325134, 0.3241479694843292]","[159.97312927246094, 33.35457229614258, -78.70372772216797]"
77,1692885491025960028,1692885490944423183,3137.8650000000002,"[-0.050418075174093246, -0.7610442042350769, 0.5595651268959045, 0.32427895069122314]","[159.9614715576172, 33.36738967895508, -78.71302795410156]"
78,1692885491031977438,1692885490944423183,3137.87,"[-0.050455059856176376, -0.7609972357749939, 0.5595580339431763, 0.32439562678337097]","[159.9529266357422, 33.380271911621094, -78.72081756591797]"
79,1692885491038058949,1692885490944423183,3137.875,"[-0.050500400364398956, -0.760952353477478, 0.5595480799674988, 0.32451072335243225]","[159.94546508789062, 33.39371871948242, -78.72795867919922]"
80,1692885491044252595,1692885491045038586,3137.88,"[-0.050558023154735565, -0.7609081864356995, 0.5595378875732422, 0.32462289929389954]","[159.93946838378906, 33.40781784057617, -78.73469543457031]"
81,1692885491051302380,1692885491045038586,3137.885,"[-0.05061810836195946, -0.7608659863471985, 0.5595265030860901, 0.3247320055961609]","[159.93406677246094, 33.421871185302734, -78.74098205566406]"
82,1692885491057500418,1692885491045038586,3137.89,"[-0.05067363753914833, -0.7608268857002258, 0.5595067739486694, 0.3248491585254669]","[159.9277801513672, 33.43648910522461, -78.74662017822266]"
83,1692885491063410746,1692885491045038586,3137.895,"[-0.05073278769850731, -0.760786771774292, 0.5594807267189026, 0.3249787390232086]","[159.92080688476562, 33.45260238647461, -78.75221252441406]"
84,1692885491069408487,1692885491045038586,3137.9,"[-0.05002692714333534, -0.7611724138259888, 0.5591657757759094, 0.32472699880599976]","[159.89646911621094, 33.38711929321289, -78.68861389160156]"
85,1692885491075540676,1692885491045038586,3137.905,"[-0.050085198134183884, -0.7611337900161743, 0.5591317415237427, 0.32486721873283386]","[159.88870239257812, 33.40428161621094, -78.69376373291016]"
86,1692885491081601243,1692885491045038586,3137.91,"[-0.05014835298061371, -0.7610957622528076, 0.559093713760376, 0.3250117599964142]","[159.88107299804688, 33.422279357910156, -78.69859313964844]"
87,1692885491087587957,1692885491045038586,3137.915,"[-0.05021946504712105, -0.7610573768615723, 0.5590545535087585, 0.32515814900398254]","[159.8740692138672, 33.4410514831543, -78.70331573486328]"
88,1692885491093930677,1692885491045038586,3137.92,"[-0.05028956010937691, -0.7610194683074951, 0.5590130686759949, 0.32530730962753296]","[159.8667755126953, 33.460044860839844, -78.7079086303711]"
89,1692885491100217902,1692885491045038586,3137.925,"[-0.050358667969703674, -0.7609825134277344, 0.5589652061462402, 0.3254651427268982]","[159.85874938964844, 33.47987365722656, -78.7121810913086]"
90,1692885491106394752,1692885491045038586,3137.9300000000003,"[-0.050424251705408096, -0.7609457969665527, 0.5589157938957214, 0.32562559843063354]","[159.85020446777344, 33.49970245361328, -78.71646118164062]"
91,1692885491112259837,1692885491045038586,3137.935,"[-0.05049300193786621, -0.7609049677848816, 0.5588659048080444, 0.3257959187030792]","[159.84091186523438, 33.5206184387207, -78.721435546875]"
92,1692885491118653970,1692885491045038586,3137.94,"[-0.05055449157953262, -0.7608607411384583, 0.5588132739067078, 0.325980007648468]","[159.8296356201172, 33.5422477722168, -78.7271499633789]"
93,1692885491124640805,1692885491045038586,3137.945,"[-0.050610657781362534, -0.7608164548873901, 0.5587531924247742, 0.3261774778366089]","[159.81675720214844, 33.564823150634766, -78.7328109741211]"
94,1692885491130705864,1692885491045038586,3137.9500000000003,"[-0.050359420478343964, -0.7609986066818237, 0.5585726499557495, 0.3261007070541382]","[159.80999755859375, 33.544403076171875, -78.70020294189453]"
95,1692885491136553875,1692885491045038586,3137.955,"[-0.05039196461439133, -0.7609550952911377, 0.5584924221038818, 0.3263345956802368]","[159.79202270507812, 33.56886672973633, -78.7057876586914]"
96,1692885491142656461,1692885491145677314,3137.96,"[-0.050414733588695526, -0.760908305644989, 0.5584060549736023, 0.3265879452228546]","[159.7713623046875, 33.59443664550781, -78.71206665039062]"
97,1692885491149126168,1692885491145677314,3137.965,"[-0.05042226240038872, -0.7608606815338135, 0.5583135485649109, 0.3268558382987976]","[159.7480010986328, 33.620277404785156, -78.71871185302734]"
98,1692885491155415187,1692885491145677314,3137.9700000000003,"[-0.050425346940755844, -0.760810136795044, 0.5582181215286255, 0.3271356225013733]","[159.7230987548828, 33.646881103515625, -78.72591400146484]"
99,1692885491161685920,1692885491145677314,3137.975,"[-0.05042155832052231, -0.7607606053352356, 0.5581179261207581, 0.3274225890636444]","[159.697021484375, 33.67371368408203, -78.73301696777344]"
